country_id,Year,Date,City,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
13,2023,19/01/2023,Istanbul,209.4571277,29.15,190.95,42.75,22.66,7.42,124.47,15,44.91,9.84
18,2023,19/01/2023,Dubai,184.1950474,119.42,178.31,28.09,13.03,9.91,21.73,20.05,81.49,6.22
4,2023,19/01/2023,Mumbai,299.3575532,143,178.39,82.64,35.52,1.21,115.56,6.86,51.27,9.18
18,2023,20/01/2023,Dubai,275.5132979,138.52,171.18,73.44,7.86,2.9,140.31,18.94,27.66,11.01
14,2023,20/01/2023,Moscow,246.171383,43.6,89.07,84.33,10.59,4.16,14.45,36.38,55.98,11.87
19,2023,20/01/2023,Berlin,161.9772392,46.45,47.95,22.98,24.23,2.67,99.4,4.19,37.21,13.9
12,2023,20/01/2023,Madrid,181.0447368,138.02,155.94,88.55,34.98,6.26,129.51,-9.19,59.96,3.47
1,2023,20/01/2023,New York,260.4315957,103.64,199.26,91.64,15.19,8.45,102.04,-4.54,55.94,3.61
18,2023,20/01/2023,Dubai,167.8921053,79.05,151.35,11.36,21.77,7.88,170.93,7.8,34.75,7.82
4,2023,20/01/2023,Mumbai,157.1753425,117.41,56.59,79.79,16.64,9.17,108.31,-9.53,49.92,6.87
11,2023,20/01/2023,Mexico City,190.4063158,126.71,87.24,49.48,10.18,8.27,108.57,9.97,45.42,1.79
17,2023,20/01/2023,Seoul,205.3918085,82.18,155.14,30.57,37.5,2.38,26.15,17.2,42.78,19.03
18,2023,20/01/2023,Dubai,240.3051064,87.12,65.35,83.41,14.71,2.11,182.64,37.92,41.86,8.22
11,2023,20/01/2023,Mexico City,154.7589041,40.97,198.17,75.05,9.67,5.6,104.52,3.96,33.54,18.33
12,2023,20/01/2023,Madrid,198.7621053,67.46,124.47,50.07,41.23,1.35,43.56,4.34,71.15,4.6
1,2023,20/01/2023,Los Angeles,164.775764,11.54,72.7,64.81,32.91,5.19,143.32,36.58,94.13,12.39
15,2023,20/01/2023,Johannesburg,237.135,67.7,139.2,28.43,38.1,6.03,110.17,6.31,64.54,10.26
16,2023,20/01/2023,Toronto,120.9447236,95.96,24.75,49.71,19.97,8.18,101.28,10.78,55.4,8.38
17,2023,20/01/2023,Seoul,225.7605319,54.64,75.37,56.6,1.4,1.9,92.55,15.08,13.68,13.77
8,2023,20/01/2023,Rio de Janeiro,281.7165957,17.24,152.7,50.2,34.31,1.32,162.43,17.74,43.33,9.49
12,2023,20/01/2023,Madrid,269.3837234,25.39,190.1,90.36,29,6.67,97.65,31.87,46.07,2.56
10,2023,20/01/2023,Bangkok,192.3663158,76.76,196.97,15.96,30.17,9.78,37.61,22,37.85,19.98
13,2023,20/01/2023,Istanbul,203.4328723,116.53,34.49,48.19,9.66,8.34,148.89,1.87,59.47,10.08
9,2023,20/01/2023,Cairo,203.7067021,136.8,111.06,44.48,46.11,7.85,176.75,21.74,28.18,2.19
11,2023,20/01/2023,Mexico City,185.5578947,62.78,159.32,11.88,15.48,4.99,85.99,21.66,34.29,16.84
1,2023,21/01/2023,Los Angeles,266.5506383,85.51,26,44,22.32,5.08,104.56,9.96,73.21,17.55
1,2023,21/01/2023,Los Angeles,278.1041489,114.26,174.54,17.86,43.86,6.9,198.82,39.95,12.39,5.78
1,2023,21/01/2023,New York,152.6316122,30.39,108.6,97.68,43.74,7.65,127.1,18.43,51.94,13.32
9,2023,21/01/2023,Cairo,190.0968421,107.72,88.94,25.64,41.84,6.78,60.12,12.55,17.66,18.11
18,2023,21/01/2023,Dubai,93.26782609,86.05,77.04,40.62,46.88,7.04,198.52,8.27,67.29,18.4
15,2023,21/01/2023,Johannesburg,226.2765957,87.99,179.1,25.47,48.52,9.71,106.3,38.96,15.6,2.05
14,2023,21/01/2023,Moscow,176.6875659,114.68,88.37,33.42,46.01,2.23,137.37,14.83,26.47,8.28
11,2023,21/01/2023,Mexico City,179.4964173,119.35,183.08,34.21,37.6,9.73,39.95,-5.85,59.05,1.47
10,2023,21/01/2023,Bangkok,147.9316583,121.43,55.34,70.77,38.15,4.82,97.44,38.04,44.91,10.72
16,2023,21/01/2023,Toronto,226.8769149,79.71,29.11,35.91,29.18,3.19,195.92,33.43,69.79,16.04
1,2023,21/01/2023,Los Angeles,191.8884089,145.66,98.91,95.81,6.04,5.43,71.33,33.01,81.35,17.57
14,2023,21/01/2023,Moscow,188.181138,26.13,73.29,93.66,31.91,8.85,141.1,-5.34,79.48,9.58
5,2023,21/01/2023,Paris,226.0764894,109.04,158.61,45.62,11.16,5.22,129.81,30.81,58.05,3.53
11,2023,21/01/2023,Mexico City,237.9670213,127.51,76.06,44.29,46.23,0.51,84.51,35.34,69.04,15.66
10,2023,21/01/2023,Bangkok,295.7029787,88.12,69.24,23.7,39.83,5.65,179.21,3.7,77.29,9
14,2023,21/01/2023,Moscow,198.8652632,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22
15,2023,21/01/2023,Johannesburg,298.757234,109.89,42.41,25.47,14.58,0.79,101.16,2.04,96.19,3.06
15,2023,21/01/2023,Johannesburg,223.2223404,16.49,21.2,93.68,7.56,0.98,37.08,9.12,48.43,18.95
17,2023,21/01/2023,Seoul,177.9629083,38.56,111.37,76.26,33.35,3.95,130,23.21,78.57,7.23
7,2023,21/01/2023,Sydney,298.4412766,118.92,191.82,80.85,10.7,8.65,168.24,29.14,84,5.72
2,2023,21/01/2023,London,197.5525817,110.69,55.58,41.32,42.57,0.45,41.8,32.84,36.92,2.47
3,2023,21/01/2023,Beijing,234.038617,54.56,178.83,90.13,12.38,6.63,57.54,2.36,70.33,6.48
14,2023,21/01/2023,Moscow,183.9678609,38.62,85.53,22.97,18.54,8.33,130.57,7.96,75.34,5.35
15,2023,21/01/2023,Johannesburg,185.0418335,134.69,118.56,36.68,6.15,8.75,83.06,-1.05,21.06,8.16
2,2023,21/01/2023,London,201.3159574,105.25,141.77,45.71,39.8,1.43,91.15,3.23,59.47,2.43
3,2023,22/01/2023,Beijing,189.4513172,127.72,93.57,7.73,49.79,6.86,35.57,18.98,56.37,2.51
17,2023,22/01/2023,Seoul,207.8773404,20.23,41.08,33.39,40,5.09,146.14,12.21,18.25,3.44
16,2023,22/01/2023,Toronto,252.6379787,61,139.24,29.8,10.23,7.41,10.16,25.12,37.52,15.37
15,2023,22/01/2023,Johannesburg,254.3020213,63.67,143.29,60.75,37.58,0.68,162.78,18.11,77.49,13.88
14,2023,22/01/2023,Moscow,187.4066386,23.26,31.18,72.35,23,1.19,47.33,22.75,31.57,18.98
10,2023,22/01/2023,Bangkok,153.3648051,119.07,176.26,62.17,47.58,9.01,103.11,15.41,43.9,15.62
19,2023,22/01/2023,Berlin,166.7946259,6.15,27.48,34.96,13.43,7.67,154.74,32.25,87.28,3.25
5,2023,22/01/2023,Paris,245.1603191,124.44,54.92,26.89,1.71,6.13,170.42,13.84,62.06,2.97
9,2023,22/01/2023,Cairo,264.9497872,116.54,140.79,10.51,4.53,7.12,120.82,31.34,26.52,3.93
15,2023,22/01/2023,Johannesburg,196.525079,147.45,90.97,57.09,48.68,4.84,168.73,21.36,65.11,13.22
3,2023,22/01/2023,Beijing,237.8932979,33.44,57.52,10.02,4.7,6.25,36.45,-6.01,75.57,18.81
16,2023,22/01/2023,Toronto,160.5163158,86.5,95.17,5.56,29.33,7.32,155.03,15.21,33.15,7.44
17,2023,22/01/2023,Seoul,95.87811159,96.03,170.57,18.43,20.3,0.55,141.03,-4.44,74.21,17.44
19,2023,22/01/2023,Berlin,188.289568,19.29,167.35,6.31,45.57,5.09,89.69,-5.83,77.65,8.02
15,2023,22/01/2023,Johannesburg,267.0667021,129.97,77.7,98.01,44.75,9.86,61.21,7.34,44.51,8.73
17,2023,22/01/2023,Seoul,216.6082979,124.14,165.29,24.74,29.29,2.37,156.61,1.1,13.27,6.81
9,2023,22/01/2023,Cairo,268.8465957,126.01,11.35,82.56,29.1,7.32,86.83,3.27,76.75,8.58
19,2023,22/01/2023,Berlin,252.3325532,60.67,117.57,64.04,9.66,7.04,112.53,32.02,93.3,11.73
16,2023,22/01/2023,Toronto,195.1257895,86.09,88.32,95.62,38.02,9.33,86.51,29.41,22.53,11.78
18,2023,22/01/2023,Dubai,74.4695279,7.99,155.2,35.39,3.62,6.6,147.93,25.77,36.11,4.94
18,2023,22/01/2023,Dubai,153.8398314,20.98,137.7,5.15,15.37,5.22,166.72,31.04,49.67,4.77
1,2023,22/01/2023,New York,243.2751064,143.67,45.46,9.53,41.86,2.38,98.58,35.45,72.2,9.7
13,2023,22/01/2023,Istanbul,260.8002128,60.08,84.91,85.9,26.39,8.19,50.5,13.97,41.78,16.67
7,2023,23/01/2023,Sydney,189.3015806,23.23,11.54,40.02,5.23,7.91,74.75,14.06,56.35,1.34
1,2023,23/01/2023,New York,252.353617,74.35,32.48,9.58,21.88,5.58,142.96,34.42,50.69,11.7
13,2023,23/01/2023,Istanbul,276.5348936,143.11,86.42,49.99,28.82,6.19,50.81,-2.6,81.4,2.86
10,2023,23/01/2023,Bangkok,205.823617,38.81,39.01,24.05,40.91,4.45,105.87,21.32,62.83,14.67
14,2023,23/01/2023,Moscow,236.3240426,108.28,144.49,81.32,45.17,9.4,128.93,-6.53,65.83,3.72
10,2023,23/01/2023,Bangkok,99.82956522,43.62,96.22,91.76,46.28,0.62,135.4,35.98,51.28,11.73
4,2023,23/01/2023,Mumbai,155.7709168,103.6,195.23,29.6,39.41,0.42,66.51,22.86,99.51,13.05
16,2023,23/01/2023,Toronto,94,47.17,36.36,73.16,29.15,7.79,199.03,-9.83,88.27,5.94
10,2023,23/01/2023,Bangkok,141.4557789,64.57,94.19,49.29,7.57,4.47,191.28,18.09,88.33,17.84
9,2023,23/01/2023,Cairo,207.0453191,86.75,10.12,44.1,8.13,3.52,71.19,21.84,28.3,15.87
8,2023,23/01/2023,Rio de Janeiro,206.3502128,114.3,128.88,51.62,5.31,0.83,63.45,14.41,62.45,17.82
19,2023,23/01/2023,Berlin,164.0012645,24.03,31.29,98.7,28.47,0.92,11.18,-2.15,72.65,8.72
5,2023,23/01/2023,Paris,103.2322222,24.34,24.4,44.13,20.16,3.76,98.2,-9.48,31.87,16.04
7,2023,23/01/2023,Sydney,234.3545745,17.59,88.7,88.57,6.93,2,20.44,0.63,59.4,18.18
3,2023,23/01/2023,Beijing,265.0551064,88.12,123.9,5.43,16.89,3.92,196.08,-0.87,16.6,12.65
18,2023,23/01/2023,Dubai,212.8062766,103.87,173.88,36.61,1.35,5.96,177.91,22.32,68.69,15.33
3,2023,23/01/2023,Beijing,286.9193617,34.08,19.68,68.49,46.95,1.27,96.13,-6.72,28.72,13.69
5,2023,23/01/2023,Paris,177.1247368,80.68,109.2,80.08,27.68,7.86,84.59,9.1,40.46,19.3
14,2023,23/01/2023,Moscow,295.8714894,104.35,35.07,58.32,47.73,9.09,117.21,30.3,49.34,17.05
7,2023,23/01/2023,Sydney,239.9259574,12.36,140.56,7.24,7.01,4.24,154.76,-3.07,34.98,13.2
19,2023,23/01/2023,Berlin,196.2359326,123.27,62.71,51.01,16.76,2.4,177.72,26.76,28.28,12.92
18,2023,23/01/2023,Dubai,109.1502513,92.46,89.94,76.23,28.58,1.27,110.58,29.17,13.63,18.59
6,2023,23/01/2023,Tokyo,225.1496809,20.28,42.85,73.26,44.45,6.55,139.54,-3.82,14.07,19.64
19,2023,23/01/2023,Berlin,231.9638298,25.28,14.14,99.84,36.7,5.85,39.38,2.78,67.39,3.91
3,2023,23/01/2023,Beijing,114.125,64.74,188.33,47.89,49.94,3.88,20.18,10.55,26.46,3.43
13,2023,23/01/2023,Istanbul,175.8356164,22.05,28.71,43.12,45.73,8.8,55.72,10.74,90.35,9.24
9,2023,23/01/2023,Cairo,276.735,129.68,65.98,75.89,25.45,2.37,40.9,29.62,41.1,14.23
1,2023,23/01/2023,Los Angeles,290.8161702,20.69,138.7,72.77,17.56,3.78,111.74,27.1,16.98,17.96
4,2023,23/01/2023,Mumbai,167.1354057,60.74,87.76,66.1,46.08,5.47,111.08,4.3,28.97,12.1
19,2023,23/01/2023,Berlin,181.3603793,15.39,57.06,39.39,6.72,2.56,187.58,4.49,89.69,13.18
19,2023,23/01/2023,Berlin,98.61521739,24.08,159.51,6.65,35.43,2.98,67.37,10.69,15.81,6.11
11,2023,23/01/2023,Mexico City,298.9784043,104.99,64.06,6.56,14.42,1.24,137.67,30.29,54.38,10.67
9,2023,23/01/2023,Cairo,182.4631579,117.4,73.38,24.59,13.24,8.06,166.82,6.67,49.4,13.65
7,2023,23/01/2023,Sydney,87.82456522,51.93,21.75,35.33,45.22,7.68,23.58,6.53,71.17,18.49
13,2023,24/01/2023,Istanbul,209.9731915,19.96,31.14,44.73,17.11,5.86,102.89,8.85,88.86,18.17
15,2023,24/01/2023,Johannesburg,198.4923077,75.82,33.56,73.43,36.35,5.55,95.27,27.13,20.55,11.8
16,2023,24/01/2023,Toronto,168.0984211,106.93,99.65,70.38,35.91,6.22,119.49,16.83,27.16,18.94
8,2023,24/01/2023,Rio de Janeiro,174.0232877,136.78,80.31,7.62,10.18,2.01,69.42,37,39.59,4.25
2,2023,24/01/2023,London,118.4824121,82.8,12.37,39.99,30.25,5.43,88.61,37.5,97.55,15.56
10,2023,24/01/2023,Bangkok,221.9690426,125.5,164.13,45.17,22.74,0.67,129.49,-0.57,95.47,8.88
3,2023,24/01/2023,Beijing,91.29356223,36.78,160.38,74.85,13.56,0.85,194.34,26.97,40.72,19.67
16,2023,24/01/2023,Toronto,213.3960638,84.73,170.1,86.94,17.76,0.18,10.33,-8.65,19.46,1.72
7,2023,24/01/2023,Sydney,250.5421277,95.39,11.35,95.05,10.9,9.44,159.42,32.93,90.52,3.52
3,2023,24/01/2023,Beijing,132.395,62.31,169.48,10.56,17.94,9.53,44.44,17.13,15.13,4.63
2,2023,24/01/2023,London,216.6082979,107.95,106.5,59.63,45.7,4.5,109.31,13.63,13.51,2.97
2,2023,24/01/2023,London,234.2071277,8.9,96.17,74.93,42.28,6.87,153.9,13.22,67.85,16.52
7,2023,24/01/2023,Sydney,271.2373404,96.69,138.42,97.1,1.9,5.66,21.2,12.83,97.02,15.26
1,2023,24/01/2023,Los Angeles,165.6328767,139.37,100.3,77.56,11.96,6.07,191.49,6.14,23.29,6.38
9,2023,24/01/2023,Cairo,174.6532139,26.66,165.85,14.54,42.69,9.8,178.71,2.87,83.85,1.18
12,2023,24/01/2023,Madrid,234.8495745,102.82,85.63,38.69,4.25,9.58,197.58,17.56,87.18,2.35
5,2023,24/01/2023,Paris,121.6834171,9.78,39.89,18.36,44.61,7.02,157.43,30.3,65.04,10.68
13,2023,24/01/2023,Istanbul,297.4512766,17.01,173.98,66.9,17.86,2.1,138.14,33.27,24.26,4.78
6,2023,24/01/2023,Tokyo,255.1656383,43.9,151.82,46.85,26.62,4.28,13.33,12.42,32.76,4.99
1,2023,24/01/2023,Los Angeles,291.0373404,138.24,165.89,81.13,18.34,1.23,114.52,27.26,53.48,12.17
11,2023,24/01/2023,Mexico City,194.5584211,147.48,64.07,50.3,35.28,7.34,33.51,23.48,71.97,17.8
4,2023,24/01/2023,Mumbai,174.9068421,10.25,137.16,41.98,14.02,2.24,92.63,9.9,75.36,7.24
11,2023,24/01/2023,Mexico City,215.2075532,100.09,113.44,78.69,33.57,7.47,73.62,18.36,86.38,18.16
15,2023,24/01/2023,Johannesburg,192.9675448,41.27,186.58,86.66,7.94,9.64,125.91,-4.91,51.6,2.96
12,2023,24/01/2023,Madrid,165.0958904,31.26,117.55,39.19,2.12,3.4,53.67,22.96,41.49,3.64
19,2023,24/01/2023,Berlin,225.7394681,77.81,97.66,51.96,11.62,4.76,117.77,-1.25,17.42,14.64
4,2023,24/01/2023,Mumbai,294.0389362,42.6,68.71,85.7,20.06,3.92,25.79,23.69,70.23,1.12
3,2023,24/01/2023,Beijing,277.5775532,15.79,93.13,63.05,33.9,7.96,79.97,4.78,80,0.93
18,2023,24/01/2023,Dubai,257.2614894,43.01,123.9,49.85,44.09,4.37,120.82,15.8,89.96,6.64
12,2023,24/01/2023,Madrid,166.0924131,142.45,29.39,16.56,26.8,3.03,137.53,25.16,21.81,11.38
9,2023,24/01/2023,Cairo,154.5162276,96.97,99.43,12.65,39.66,0.88,172.69,23.65,72.9,5.91
5,2023,24/01/2023,Paris,204.4860638,83.84,162.6,82.71,28.96,9.65,58.96,-7.72,30.66,11.14
16,2023,24/01/2023,Toronto,251.4478723,101.31,159.08,97.94,30.47,2.62,33.36,27.56,15.38,16.91
3,2023,24/01/2023,Beijing,172.2677555,26.56,56.8,70.87,15.83,4.16,153.04,22.57,71.65,6.65
8,2023,25/01/2023,Rio de Janeiro,240.9159574,58.56,121.56,18.38,22.69,5.61,46.2,39.13,94.93,12.39
17,2023,25/01/2023,Seoul,187.0606955,120.8,97.49,46.9,2.91,1.97,184.36,39.53,81,11.58
5,2023,25/01/2023,Paris,187.6854584,46.72,89.78,80.38,12.95,9.95,165.62,31.97,29.25,14.78
4,2023,25/01/2023,Mumbai,90.43133047,149.59,109.64,60.58,45.02,1.97,34.47,-7.1,30.3,16.41
18,2023,25/01/2023,Dubai,151.2581665,81.23,12.14,77.79,7.44,8.07,56.01,2.36,65.63,14.58
4,2023,25/01/2023,Mumbai,225.002234,123.51,18.93,77.91,29.86,0.48,108.52,7.69,64.44,18.41
1,2023,25/01/2023,Los Angeles,194.9967334,73.82,69.93,29.96,26.07,5.91,162.92,38.41,88.23,4.84
19,2023,25/01/2023,Berlin,196.9826316,12.69,178.07,70.29,4.9,2.37,20.49,28.68,36.13,17.99
4,2023,25/01/2023,Mumbai,220.2839362,137.67,141.18,19.14,13.06,4.84,122.64,4.34,87.92,16.49
15,2023,25/01/2023,Johannesburg,263.8439362,135.99,62.94,6.37,25.85,5.66,153.19,18.21,95.92,13.43
11,2023,25/01/2023,Mexico City,157.0875659,76.39,139.37,13.74,28.26,9.51,194.49,13.37,94.8,4.01
10,2023,25/01/2023,Bangkok,180.3484211,106.05,94.38,41.27,30.5,2.48,187.63,31.78,71.08,10.62
4,2023,25/01/2023,Mumbai,230.9106383,47.54,45.47,83.6,15.8,6.43,170.52,11.18,11.56,4.59
13,2023,25/01/2023,Istanbul,287.9830851,118.8,102.11,57.98,37.14,8.6,117.19,25.54,95.43,10.73
14,2023,25/01/2023,Moscow,294.5023404,43.65,14.97,10.69,37.76,9.85,62.92,37.17,60.02,10.04
6,2023,25/01/2023,Tokyo,188.9621053,26.53,185.16,14.64,48.23,1.4,110.66,14.88,26.6,6.8
1,2023,25/01/2023,New York,147.97,105.06,94.68,73.49,39.81,0.19,155.92,32.62,45.49,6.19
15,2023,25/01/2023,Johannesburg,171.7347368,126.95,185.35,58.91,5.92,0.3,177.85,26.08,95.03,8.31
15,2023,25/01/2023,Johannesburg,227.6562766,97.6,148.29,43.14,25.74,4.85,151.11,30.51,73.91,13.88
18,2023,25/01/2023,Dubai,292.7961702,16.26,52.94,73.54,14.45,0.39,63.14,13,30.63,2.55
11,2023,25/01/2023,Mexico City,248.5094681,142.39,174.4,45.82,19.48,2.38,131.31,19.5,55.14,7.8
18,2023,25/01/2023,Dubai,253.5753191,43.05,101.37,70.8,43.73,4.69,193.16,31.45,39.74,16.51
10,2023,25/01/2023,Bangkok,77.59066667,121.4,159.7,97.66,27.71,6.92,143.9,25.39,65.61,15.68
8,2023,25/01/2023,Rio de Janeiro,283.5280851,125.34,128.5,65.22,24.24,0.54,94.22,-0.72,36.22,10.23
7,2023,25/01/2023,Sydney,263.7912766,126.55,103.11,24.8,24.18,9.23,84.72,-6.3,77.21,12.3
2,2023,25/01/2023,London,199.5817703,30.85,53.66,43.14,47.6,3.74,66.86,35.26,53.89,19.27
4,2023,25/01/2023,Mumbai,164.2852476,37.87,40.77,57.38,4.78,9.89,128.79,21.49,44.49,5.89
5,2023,25/01/2023,Paris,203.6540426,140.71,50.51,93.19,29.45,1.32,57.5,-4.41,91.29,0.5
2,2023,25/01/2023,London,260.9476596,78.28,158.09,83.92,21.8,6.51,103.83,24.43,19.53,3.34
6,2023,25/01/2023,Tokyo,152.5799789,24.29,57.47,43.97,14.25,3.59,124.31,-0.55,87.48,4.62
3,2023,25/01/2023,Beijing,112.4184848,56,112.68,16.86,15.62,3.04,25.86,19.42,57.41,10.12
13,2023,25/01/2023,Istanbul,276.6718085,67.29,170.5,49.28,25.24,1.83,85.83,-4.98,22.77,13.37
18,2023,25/01/2023,Dubai,250.7001064,41.9,70.82,80.77,22.07,8.63,97.38,36.46,66.36,14.05
12,2023,25/01/2023,Madrid,294.1969149,64.64,86.98,65.02,48.8,7.77,134.4,37.04,84.89,11.3
6,2023,25/01/2023,Tokyo,286.9720213,96.06,58.69,23.73,20.43,5.37,188.59,24.76,57.08,9.65
7,2023,25/01/2023,Sydney,268.9519149,29.13,22.81,84.03,25.56,2.68,194.78,33.16,76.03,3.2
7,2023,25/01/2023,Sydney,212.7852128,125.84,108.39,30.63,43.15,7.6,100.72,16.03,18.46,17.43
6,2023,25/01/2023,Tokyo,121.0678392,37.96,40.1,32.09,48.27,7.83,84.42,1.19,95.94,16.04
5,2023,25/01/2023,Paris,205.9078723,69.68,30.35,87.55,1.73,8.05,165.67,-1.86,17.35,17.66
16,2023,25/01/2023,Toronto,218.5251064,71.8,149.21,7.42,18.31,4.91,94.04,25.14,64.87,12.45
18,2023,26/01/2023,Dubai,282.1589362,132.82,120.11,18.79,8.67,9.49,68.17,34.99,65.11,15.08
9,2023,26/01/2023,Cairo,164.8893572,34.43,46.15,31.89,18.67,0.95,178.42,25.31,23.21,5.39
4,2023,26/01/2023,Mumbai,280.3158511,66.47,31.87,74.83,4.32,8.33,148.26,22.81,64.19,19.38
1,2023,26/01/2023,New York,272.28,26.22,85.6,61.45,15.69,5.49,142.62,14.54,70.48,16.12
11,2023,26/01/2023,Mexico City,271.0267021,14.97,42.4,67.63,44.31,6.04,178.21,-1.89,75.63,16.76
15,2023,26/01/2023,Johannesburg,281.0846809,127.99,11.74,86.43,12.11,2.03,20.22,-7.67,72.64,2.75
17,2023,26/01/2023,Seoul,292.2169149,127.65,85.78,40.2,16.64,1.38,110.58,37.11,57.21,8.48
1,2023,26/01/2023,Los Angeles,152.1720759,29.41,104.17,16.3,43.05,7.3,193.3,33.07,24.47,7.54
4,2023,26/01/2023,Mumbai,162.4006322,84.82,120.15,63.32,15.29,0.88,93.93,22.14,43.63,7.08
12,2023,26/01/2023,Madrid,288.7308511,100.02,121.33,28.63,10.62,0.81,120.32,5.63,54.94,5.07
12,2023,26/01/2023,Madrid,157.1443625,129.93,150.48,73.4,7.73,9.17,78.11,5.5,91.9,18.11
4,2023,26/01/2023,Mumbai,179.0331579,68.5,154.7,38.51,45.76,9.52,74.72,34.25,30.36,18.13
15,2023,26/01/2023,Johannesburg,157.7123288,114.97,78.9,7.8,2.21,7.06,67.42,0.35,48.83,9.45
1,2023,26/01/2023,New York,216.0817021,67.4,179.93,64.3,12.32,0.6,30.44,3.55,34.74,16.93
11,2023,26/01/2023,Mexico City,190.9228662,92.82,80.86,64.78,37.23,1.18,183.06,38.61,15.12,7.25
2,2023,26/01/2023,London,277.2721277,98.9,59.88,89.19,48.2,7.56,181.31,36.33,74.54,14.29
8,2023,26/01/2023,Rio de Janeiro,245.5078723,97.15,147.47,49.13,37.72,1.86,173.68,27.83,34.44,13.21
1,2023,26/01/2023,New York,181.7063224,16.19,168.89,69.42,27.09,5.12,172.49,14.66,61.25,1.96
11,2023,26/01/2023,Mexico City,239.5678723,82.4,196.86,20.76,47.75,9.57,21.74,29.97,68.17,10.87
2,2023,26/01/2023,London,189.4306639,145.01,59.27,42.57,34.85,5.51,192.61,24.15,18.76,18.6
9,2023,26/01/2023,Cairo,188.4289779,57.77,20.18,16.81,44.2,9.25,33.84,11.08,63.62,19.71
1,2023,26/01/2023,Los Angeles,205.823617,77.58,125.34,6.18,29.49,9.54,32.57,35.54,56.4,12.8
16,2023,26/01/2023,Toronto,277.0509574,9.74,67.72,7.8,4.71,4.62,189.3,6.11,58.4,9.38
8,2023,26/01/2023,Rio de Janeiro,292.943617,70.26,31.57,8.01,12.67,0.13,182.04,24.88,31.7,12.9
17,2023,26/01/2023,Seoul,171.4510526,100.83,97.9,68.91,37.11,3.75,96.87,32.18,25.29,2.15
16,2023,27/01/2023,Toronto,175.48451,97.24,167.3,57.38,35.55,9.26,76.69,-6,98.04,14.71
8,2023,27/01/2023,Rio de Janeiro,152.7503688,130.76,186.3,90.98,49.08,7.1,92.18,6.86,40.05,7.22
10,2023,27/01/2023,Bangkok,215.8710638,49.42,77.15,91.7,19.6,2.88,74,2,65.66,16.53
11,2023,27/01/2023,Mexico City,292.6276596,81.8,121.04,77.77,47.25,2.94,177.47,8.27,70.38,8.61
14,2023,27/01/2023,Moscow,268.6570213,89.79,26.96,53.99,17.02,8.03,112.31,23.5,75.68,12.75
12,2023,27/01/2023,Madrid,225.6973404,144.57,126.69,41.04,29.73,9.24,67.84,7.41,34.28,3.94
4,2023,27/01/2023,Mumbai,296.8825532,56.22,43.09,60.73,30.13,0.76,83.14,29.02,21.11,11.4
1,2023,27/01/2023,Los Angeles,262.9065957,71.22,158.86,80.05,24.01,5.12,190.46,13.53,31.16,13.17
5,2023,27/01/2023,Paris,160.6968421,114.38,125.52,78.66,32.47,2.38,146.72,22.79,23.58,15.38
1,2023,27/01/2023,Los Angeles,243.8859574,142.35,22.4,16.91,43.71,9.4,164.78,24.41,40.66,15.67
10,2023,27/01/2023,Bangkok,172.5517387,77.91,96.6,73.2,16.86,6.33,197.04,18.93,59.34,17.62
7,2023,27/01/2023,Sydney,289.9525532,107.08,105.63,30.6,46.48,1.34,129.45,22.74,67.28,8.92
8,2023,27/01/2023,Rio de Janeiro,151.3717597,144.46,183.46,17.43,9.26,5.84,170.24,9.56,50.43,17.07
7,2023,27/01/2023,Sydney,196.9897787,96.39,83.29,60.09,22.26,0.34,193,6.45,82.33,16.24
18,2023,27/01/2023,Dubai,207.6456383,42.49,62.03,20.43,38.84,9.63,120.12,20.65,84.38,0.55
19,2023,27/01/2023,Berlin,276.2715957,58.89,147.43,35.32,2.15,7.56,58.4,20.16,16.26,18.05
19,2023,27/01/2023,Berlin,135.2753769,102.92,119.28,29.7,33.44,7.51,47.35,22.27,44.03,8.57
15,2023,27/01/2023,Johannesburg,189.8592202,64.77,88.82,33.01,34.8,6.63,89.76,-7.93,85.24,0.75
9,2023,28/01/2023,Cairo,234.1334043,35.18,26.39,49.28,27.68,4.06,44.31,4.89,10.67,1.04
14,2023,28/01/2023,Moscow,103.949899,27.38,144.76,73.37,8.17,2.72,179.89,18.57,21.58,6.95
7,2023,28/01/2023,Sydney,216.0395745,14.48,163.63,7.14,34.27,2.32,21.04,8.23,21.94,6.01
13,2023,28/01/2023,Istanbul,179.4715789,143.34,53.74,20.84,46.79,4.38,24.04,-6.91,16.79,11.7
19,2023,28/01/2023,Berlin,264.8444681,100.76,147.78,99.42,6.66,6.31,131.74,-9.21,94.76,3.88
9,2023,28/01/2023,Cairo,133.6748744,93.45,39.79,45.77,18.55,2.05,92.78,27.72,17.32,4.61
13,2023,28/01/2023,Istanbul,81.5776824,110.4,89.78,9.91,48.9,2.3,85.24,21.91,88,2.38
18,2023,28/01/2023,Dubai,105.481407,98.08,18.62,55.77,16.97,1.02,103.25,-5.72,40.25,9.65
3,2023,28/01/2023,Beijing,216.4819149,49.76,195.71,58.48,4.09,7.99,41.07,6.93,56.86,18.95
19,2023,28/01/2023,Berlin,167.0631191,140.36,150,75.36,25.54,2.87,36.55,-2.1,17.21,5.39
