Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
Argentina,2022,Asthma,Parasitic,2.63,9.88,4.43,538071.0,64.28,2.94,3.15,69.04,0.47,85.48
India,2021,Diabetes,Viral,15.73,8.4,3.48,157553.0,51.1,4.87,6.12,60.05,9.25,82.99
Australia,2020,Asthma,Respiratory,2.39,5.38,7.28,179593.0,82.41,0.77,4.57,94.24,0.53,84.15
Saudi Arabia,2020,Cancer,Genetic,13.8,11.94,4.22,665693.0,96.8,3.76,2.31,55.76,3.65,35.84
Nigeria,2022,Asthma,Cardiovascular,15.55,0.46,0.67,452379.0,88.23,0.58,7.38,79.47,8.09,28.77
Turkey,2023,Asthma,Neurological,6.23,4.4,8.51,658190.0,65.74,1.78,1.98,75.27,1.47,61.24
Saudi Arabia,2020,Hypertension,Viral,19.11,3.96,8.42,458813.0,89.19,1.53,3.89,56.06,6.45,88.73
Italy,2021,Asthma,Genetic,2.12,0.7,2.27,483206.0,67.8,0.97,1.63,63.91,1.07,51.17
Nigeria,2021,Cancer,Neurological,9.05,1.31,4.61,26538.0,62.87,1.52,4.81,62.09,1.85,55.14
Brazil,2023,Hypertension,Metabolic,13.64,1.77,1.77,124949.0,82.44,4.28,8.92,71.6,3.88,22.39
South Korea,2022,Cancer,Autoimmune,3.16,8.36,2.66,302730.0,69.93,0.88,9.57,94.17,7.4,78.73
UK,2021,Asthma,Autoimmune,9.49,7.91,9.74,450532.0,83.76,0.61,8.14,88.68,0.51,72.26
Australia,2020,Asthma,Viral,18.52,12.01,5.27,961550.0,76.07,1.01,6.35,65.1,6.85,76.83
Japan,2023,Asthma,Autoimmune,8.35,10.73,4.24,903060.0,84.97,3.52,2.59,82.2,1.51,43.93
Australia,2021,Asthma,Parasitic,18.18,6.69,7.62,206068.0,80.08,4.03,3.83,97.44,8.18,48.15
UK,2020,Asthma,Chronic,19.4,13.89,1.13,770635.0,72.68,3.03,1.04,85.6,5.0,34.1
USA,2023,Diabetes,Infectious,4.68,11.15,6.77,95903.0,65.77,4.74,8.89,75.21,7.26,66.48
South Korea,2020,Asthma,Parasitic,7.69,11.56,4.04,714251.0,65.02,3.34,8.0,72.04,1.01,71.82
Japan,2020,Hypertension,Cardiovascular,9.73,13.74,1.8,411719.0,97.56,4.64,3.82,51.81,5.18,44.28
Brazil,2020,Asthma,Parasitic,9.59,13.48,2.03,657694.0,58.26,2.99,3.84,78.03,2.35,39.75
Saudi Arabia,2023,Asthma,Autoimmune,17.54,6.21,8.28,305097.0,75.43,4.26,6.63,51.5,7.0,50.51
South Africa,2020,Asthma,Chronic,2.13,10.67,8.43,83987.0,75.25,1.26,6.27,57.81,7.94,77.75
France,2023,Diabetes,Respiratory,1.09,3.79,1.65,220135.0,61.22,1.89,8.76,92.54,4.9,77.7
Mexico,2023,Hypertension,Neurological,5.39,10.85,9.16,560946.0,60.14,1.99,4.4,59.87,9.94,48.37
Canada,2021,Diabetes,Cardiovascular,1.33,3.86,8.67,774686.0,93.69,1.53,7.88,67.44,9.69,87.87
Australia,2021,Asthma,Autoimmune,10.81,2.46,4.79,229921.0,56.74,2.63,8.35,50.13,5.64,53.69
Canada,2020,Diabetes,Parasitic,7.21,5.46,5.86,733675.0,59.69,1.76,6.12,72.99,0.34,69.73
Argentina,2021,Diabetes,Genetic,8.16,4.24,0.81,568138.0,92.54,2.9,0.91,89.5,3.29,23.88
Japan,2021,Hypertension,Infectious,7.89,6.61,7.02,28724.0,90.37,0.65,4.26,51.08,8.77,46.6
Indonesia,2022,Cancer,Viral,11.38,13.61,2.78,336478.0,88.51,0.98,7.53,75.1,1.79,82.18
Australia,2020,Hypertension,Respiratory,10.8,0.46,7.66,407492.0,90.9,1.58,4.45,75.28,0.05,47.44
South Africa,2021,Hypertension,Respiratory,18.46,7.44,1.58,505636.0,79.09,0.75,4.16,96.6,5.61,30.01
UK,2023,Cancer,Respiratory,8.19,8.42,9.24,715852.0,92.24,4.12,9.27,62.84,0.13,20.39
South Africa,2024,Asthma,Genetic,0.62,4.97,6.66,176005.0,77.35,4.67,4.61,80.32,9.78,58.77
Argentina,2021,Hypertension,Parasitic,5.94,13.78,9.29,483847.0,60.66,1.89,4.88,61.15,0.65,22.61
Italy,2024,Hypertension,Infectious,0.72,11.96,6.94,953330.0,72.32,1.77,4.29,95.88,4.0,42.7
South Africa,2020,Hypertension,Parasitic,10.07,13.08,4.11,429899.0,68.69,4.04,4.06,54.6,4.21,87.65
Turkey,2020,Asthma,Parasitic,18.57,2.4,7.97,614776.0,81.23,0.91,5.56,62.72,2.53,50.5
South Africa,2023,Diabetes,Bacterial,13.42,2.41,2.54,882710.0,94.48,1.04,9.49,67.81,8.88,56.01
Nigeria,2020,Cancer,Infectious,17.73,14.4,0.28,843705.0,57.22,4.18,6.29,74.09,3.41,36.05
South Korea,2021,Diabetes,Parasitic,15.1,9.64,3.99,448228.0,92.85,4.53,1.67,58.71,4.39,69.0
Saudi Arabia,2023,Diabetes,Cardiovascular,8.37,2.98,4.7,869854.0,73.54,3.51,2.38,69.21,1.21,44.99
Canada,2022,Diabetes,Chronic,16.69,10.36,8.12,186496.0,65.95,2.12,1.59,73.29,5.34,45.29
Australia,2020,Cancer,Infectious,9.02,12.48,1.43,180616.0,83.54,2.64,8.44,76.57,6.11,44.11
South Korea,2021,Asthma,Neurological,10.74,12.81,6.09,97632.0,70.78,1.63,5.57,50.2,8.56,33.3
Germany,2024,Diabetes,Parasitic,18.38,13.05,1.58,277062.0,69.59,4.7,1.38,84.68,2.56,33.22
South Korea,2024,Hypertension,Bacterial,10.44,10.92,8.62,126692.0,67.03,2.42,3.07,88.44,3.0,20.68
Brazil,2020,Hypertension,Genetic,6.53,12.5,1.33,917572.0,83.66,2.65,6.83,55.65,1.99,49.09
Germany,2020,Asthma,Cardiovascular,4.38,11.69,2.75,938636.0,79.24,2.59,6.18,71.59,3.87,40.91
South Africa,2024,Hypertension,Genetic,2.94,6.06,7.01,422250.0,68.74,2.02,3.81,55.98,8.4,85.45
Brazil,2023,Asthma,Genetic,10.07,3.15,6.37,126718.0,96.68,4.32,2.56,89.07,9.81,75.71
Italy,2022,Cancer,Viral,8.51,3.02,1.73,383065.0,51.65,2.34,7.39,59.58,4.36,66.05
Germany,2023,Hypertension,Bacterial,17.38,10.48,7.61,891928.0,52.22,3.91,9.45,57.06,1.8,57.38
India,2024,Asthma,Respiratory,1.01,12.73,2.55,955735.0,98.61,4.97,2.98,73.97,4.31,47.35
France,2024,Hypertension,Bacterial,12.61,5.71,8.17,9963.0,56.32,1.46,6.42,86.16,0.86,45.88
Nigeria,2020,Asthma,Viral,2.62,1.74,0.89,665681.0,88.8,2.7,8.57,87.07,4.81,20.56
Germany,2024,Hypertension,Bacterial,15.58,6.44,2.85,800785.0,74.61,1.7,9.48,91.17,8.34,24.44
Russia,2021,Asthma,Cardiovascular,17.61,13.01,2.25,125303.0,59.98,4.94,6.76,52.39,5.33,76.31
Australia,2020,Hypertension,Bacterial,18.95,8.51,8.94,130305.0,69.38,3.42,0.52,83.37,1.03,88.28
USA,2021,Asthma,Respiratory,3.48,12.79,3.44,327151.0,68.38,4.03,6.19,74.83,7.6,24.3
Italy,2024,Asthma,Autoimmune,1.57,5.29,5.3,659020.0,69.66,0.76,8.29,80.51,2.53,75.87
Germany,2022,Diabetes,Chronic,13.66,6.5,1.35,503671.0,93.98,4.27,5.98,79.97,8.89,70.59
Germany,2024,Diabetes,Viral,6.03,9.61,5.28,845747.0,53.56,4.85,3.53,88.1,0.83,67.97
Germany,2020,Asthma,Bacterial,3.14,3.34,0.46,649718.0,61.11,3.81,6.24,51.39,7.58,77.86
Canada,2021,Hypertension,Autoimmune,4.95,8.43,8.92,863020.0,61.71,3.37,4.33,84.46,0.33,38.8
France,2021,Hypertension,Cardiovascular,17.61,4.47,6.7,374991.0,54.46,1.41,0.53,98.17,2.83,48.39
Turkey,2020,Diabetes,Parasitic,6.96,0.59,9.64,657841.0,60.16,3.65,7.82,66.21,8.7,21.85
Australia,2020,Cancer,Respiratory,14.44,0.26,7.53,54387.0,99.93,2.94,6.13,63.24,4.13,20.25
Indonesia,2021,Cancer,Neurological,6.57,8.93,0.95,721603.0,73.09,4.89,1.26,77.31,7.33,89.18
Nigeria,2021,Diabetes,Metabolic,3.5,1.5,3.64,756468.0,73.74,1.2,4.89,61.29,5.04,68.24
France,2020,Asthma,Infectious,3.06,8.13,9.49,714212.0,58.05,0.75,9.26,78.22,8.68,77.47
UK,2020,Cancer,Respiratory,19.68,13.64,7.14,43256.0,68.18,3.28,4.45,77.12,3.43,32.91
South Korea,2022,Cancer,Infectious,15.57,14.93,0.15,112563.0,74.59,0.96,4.35,55.63,2.6,50.58
India,2024,Cancer,Neurological,19.62,9.84,1.03,109205.0,78.28,2.2,6.32,77.44,1.72,26.97
Turkey,2020,Asthma,Viral,2.12,5.27,2.37,676811.0,59.09,3.61,2.47,87.74,0.99,48.94
India,2020,Asthma,Autoimmune,13.73,4.87,4.37,548911.0,80.96,1.92,0.78,69.67,5.25,22.28
Italy,2020,Hypertension,Respiratory,9.21,1.65,9.83,379755.0,53.59,0.73,2.16,65.2,6.06,27.6
Russia,2020,Cancer,Parasitic,2.75,4.46,9.01,908505.0,93.95,1.04,7.94,61.27,3.96,20.7
South Korea,2024,Hypertension,Cardiovascular,16.62,9.41,1.4,401757.0,78.48,3.05,6.62,63.78,0.38,55.07
Saudi Arabia,2023,Asthma,Respiratory,2.37,1.46,3.63,9170.0,91.77,2.06,1.69,69.83,2.23,85.09
Argentina,2023,Diabetes,Bacterial,16.5,0.76,5.43,537526.0,99.86,2.16,1.6,83.88,0.25,42.19
USA,2022,Diabetes,Respiratory,0.52,6.83,5.38,653984.0,93.59,1.66,9.92,67.27,7.16,70.12
Argentina,2022,Diabetes,Metabolic,19.46,8.72,3.89,131625.0,63.09,1.85,9.55,50.72,2.02,59.92
South Korea,2022,Asthma,Parasitic,13.37,5.04,2.24,164570.0,55.98,2.78,6.23,51.07,4.1,57.11
Russia,2024,Cancer,Cardiovascular,12.99,9.25,6.3,103644.0,94.5,2.59,0.94,89.69,0.78,22.56
India,2021,Cancer,Respiratory,2.38,14.98,9.22,853135.0,87.76,1.01,1.4,62.03,7.09,60.22
France,2023,Cancer,Genetic,10.24,6.44,7.47,17489.0,72.78,4.08,7.49,64.64,1.8,22.28
Saudi Arabia,2020,Asthma,Metabolic,4.28,10.85,9.87,183412.0,89.84,3.91,8.78,57.79,0.43,30.96
Nigeria,2021,Hypertension,Autoimmune,13.55,2.89,1.14,830472.0,78.73,3.39,6.72,93.43,0.84,72.02
Nigeria,2023,Asthma,Autoimmune,11.59,12.69,9.03,974346.0,74.91,1.9,9.56,57.42,4.56,84.71
Canada,2022,Diabetes,Cardiovascular,0.8,5.02,9.5,215409.0,60.01,1.75,3.96,81.37,2.44,79.69
South Africa,2022,Diabetes,Infectious,14.05,3.25,0.82,43296.0,56.65,3.2,4.0,76.79,2.77,59.42
Brazil,2024,Asthma,Metabolic,3.36,10.44,6.71,395063.0,76.02,2.84,6.98,70.25,5.88,31.24
Italy,2022,Cancer,Viral,7.47,4.89,5.44,263784.0,74.94,1.68,2.3,59.63,2.84,73.88
Japan,2021,Diabetes,Genetic,13.83,14.5,5.8,596940.0,73.32,3.8,2.24,94.12,8.2,34.44
Japan,2023,Asthma,Metabolic,7.16,0.99,0.18,209649.0,92.55,1.21,2.59,86.85,8.54,35.11
Russia,2021,Hypertension,Neurological,13.15,11.81,7.91,622636.0,89.1,1.21,9.78,73.87,9.11,22.24
Canada,2023,Cancer,Neurological,14.68,11.5,2.13,344160.0,95.44,3.73,4.86,88.14,9.21,80.04
Indonesia,2021,Diabetes,Neurological,0.9,4.22,0.77,332955.0,68.08,1.2,6.16,58.27,0.8,39.51
Italy,2022,Asthma,Parasitic,15.01,12.16,9.14,408800.0,77.22,3.79,5.76,94.22,9.68,64.53
Turkey,2020,Hypertension,Bacterial,14.26,13.83,2.79,602908.0,79.57,4.78,1.07,95.34,2.58,25.88
South Korea,2022,Asthma,Autoimmune,12.22,11.09,8.07,557242.0,50.36,1.91,2.51,98.61,9.85,61.54
South Korea,2021,Cancer,Autoimmune,7.53,1.52,6.81,43702.0,76.06,2.21,6.79,71.47,2.41,67.32
UK,2023,Hypertension,Neurological,5.86,14.17,6.68,150807.0,72.2,2.94,5.87,97.09,4.82,78.21
Mexico,2024,Hypertension,Metabolic,13.77,8.68,0.59,204314.0,55.65,4.41,5.77,82.64,6.13,25.71
Japan,2021,Cancer,Cardiovascular,8.12,12.93,4.54,772143.0,56.57,4.82,7.01,62.1,7.06,81.18
Japan,2023,Asthma,Chronic,19.26,12.54,0.64,641610.0,92.15,4.86,1.83,82.69,9.68,72.27
India,2020,Asthma,Cardiovascular,16.62,14.83,2.37,239457.0,64.18,3.94,8.27,68.21,1.14,28.79
South Korea,2023,Diabetes,Autoimmune,18.48,5.42,0.85,501054.0,94.7,0.55,7.44,55.96,4.01,84.1
Brazil,2023,Diabetes,Cardiovascular,6.82,9.73,3.5,375725.0,85.9,1.63,6.61,51.15,8.58,69.28
Russia,2020,Cancer,Bacterial,4.71,3.99,3.02,299223.0,52.44,1.51,1.97,95.91,8.13,77.2
Indonesia,2024,Asthma,Genetic,5.01,1.88,9.99,508821.0,51.85,4.19,4.71,62.17,8.0,61.5
Brazil,2020,Cancer,Chronic,5.59,13.41,0.95,845809.0,82.65,2.19,1.63,63.07,0.76,48.12
Argentina,2021,Cancer,Cardiovascular,1.44,8.56,8.22,495651.0,72.54,2.94,4.67,57.12,3.16,76.65
China,2022,Asthma,Genetic,6.04,5.97,6.05,168966.0,99.16,1.31,1.81,91.76,5.77,64.45
UK,2022,Hypertension,Parasitic,9.12,12.48,1.63,243443.0,58.32,1.0,7.41,80.26,3.49,52.28
France,2023,Diabetes,Autoimmune,14.33,11.9,2.9,651461.0,83.69,4.08,4.05,89.51,5.51,79.71
India,2022,Asthma,Neurological,14.88,2.57,7.52,944922.0,91.98,0.62,5.7,75.33,3.13,75.69
Canada,2021,Hypertension,Respiratory,9.08,8.14,0.49,628867.0,78.01,3.88,7.26,70.9,5.7,71.45
Saudi Arabia,2023,Cancer,Parasitic,12.0,14.02,5.77,115592.0,90.14,4.12,9.73,68.4,3.6,26.94
South Africa,2024,Hypertension,Metabolic,8.8,5.7,0.16,309190.0,63.7,2.29,1.73,74.87,4.66,43.33
Argentina,2024,Diabetes,Autoimmune,16.54,0.16,0.86,938756.0,70.97,1.48,4.24,68.66,0.5,72.84
South Korea,2023,Asthma,Metabolic,17.65,13.32,9.85,40451.0,70.84,2.25,6.8,58.05,4.07,22.18
Canada,2023,Hypertension,Autoimmune,0.16,8.44,7.89,547961.0,86.28,4.19,5.31,70.51,4.96,88.45
Japan,2023,Diabetes,Parasitic,19.78,14.72,1.77,126037.0,83.8,2.12,1.63,79.13,0.27,46.59
China,2024,Asthma,Genetic,10.86,5.45,3.64,15903.0,99.42,2.7,7.73,88.95,3.05,36.86
Japan,2022,Hypertension,Chronic,5.64,4.68,4.76,264367.0,87.0,0.59,8.43,89.3,0.33,86.63
Australia,2020,Diabetes,Viral,11.71,0.98,1.73,511369.0,85.2,4.75,0.56,86.58,2.06,74.19
Indonesia,2021,Diabetes,Cardiovascular,9.3,2.4,7.08,313241.0,99.92,2.06,2.09,59.09,4.69,38.87
Saudi Arabia,2021,Diabetes,Infectious,8.88,6.07,8.93,524641.0,90.41,1.84,3.99,89.49,8.74,37.17
South Korea,2022,Hypertension,Metabolic,7.21,14.39,5.97,381129.0,72.89,3.0,1.21,68.09,3.95,36.65
South Korea,2020,Cancer,Autoimmune,6.83,2.49,4.48,369812.0,83.37,4.48,4.61,83.94,9.41,87.32
Argentina,2020,Diabetes,Parasitic,9.33,8.16,9.0,438049.0,71.07,2.66,5.08,81.52,9.6,44.91
Canada,2024,Hypertension,Chronic,19.77,3.54,0.48,621736.0,80.21,3.52,4.71,58.89,0.36,48.23
Russia,2020,Asthma,Respiratory,4.29,3.15,4.14,217110.0,70.75,0.65,8.64,80.62,5.12,46.78
Turkey,2020,Hypertension,Genetic,12.01,5.86,3.39,642988.0,77.58,4.0,3.3,74.62,3.87,82.7
Canada,2022,Asthma,Viral,3.69,13.89,5.43,784488.0,71.3,4.19,2.71,62.23,9.96,37.34
Germany,2021,Diabetes,Viral,13.12,9.8,0.32,756485.0,78.32,2.72,6.68,94.13,8.05,36.93
Russia,2022,Asthma,Autoimmune,16.82,0.56,6.47,776284.0,89.33,4.62,7.03,86.53,8.74,38.59
Turkey,2023,Cancer,Neurological,5.28,6.35,8.17,976438.0,55.76,1.98,8.77,78.38,8.8,22.92
Argentina,2022,Cancer,Parasitic,15.77,13.4,5.7,24038.0,83.32,3.34,0.77,78.07,6.23,66.38
Mexico,2024,Asthma,Neurological,10.94,11.69,6.87,758863.0,83.07,0.61,1.35,52.9,6.15,35.13
Italy,2021,Hypertension,Viral,15.23,12.7,5.38,233629.0,58.45,2.36,6.62,69.83,9.44,37.93
India,2021,Asthma,Autoimmune,2.3,13.11,2.67,25049.0,76.57,2.43,4.86,91.65,8.51,87.41
India,2024,Asthma,Bacterial,19.15,7.6,3.54,893572.0,59.36,1.8,6.7,78.47,1.42,36.44
Nigeria,2023,Hypertension,Cardiovascular,10.59,8.14,2.02,572220.0,84.84,4.32,2.73,88.19,4.32,85.95
Mexico,2020,Cancer,Chronic,11.74,10.6,5.86,459611.0,54.17,2.68,6.03,59.46,4.5,75.76
Japan,2022,Asthma,Parasitic,14.4,12.33,5.65,796919.0,53.21,0.6,6.31,86.6,8.69,30.95
UK,2023,Asthma,Cardiovascular,17.42,7.67,1.44,667204.0,64.03,1.6,4.68,93.14,6.57,26.75
France,2023,Hypertension,Genetic,3.22,4.56,6.49,286285.0,77.43,4.56,4.59,70.41,8.48,50.18
China,2022,Asthma,Neurological,6.78,5.86,7.24,880088.0,63.19,2.83,2.08,89.43,0.62,43.34
India,2022,Hypertension,Infectious,19.21,14.09,5.89,689221.0,50.67,4.3,4.39,59.71,4.94,26.33
Mexico,2024,Cancer,Genetic,1.44,6.38,3.84,27857.0,73.41,1.29,8.13,64.3,9.94,34.05
Russia,2022,Asthma,Viral,1.34,10.34,7.15,984935.0,82.94,0.59,1.09,59.77,4.16,46.64
Australia,2022,Hypertension,Chronic,17.15,12.77,9.14,306778.0,55.55,2.09,4.94,88.34,1.65,28.82
UK,2022,Asthma,Cardiovascular,18.88,13.1,1.31,549145.0,52.34,1.11,4.82,79.21,8.33,61.85
Brazil,2020,Hypertension,Autoimmune,6.96,5.34,3.14,631349.0,90.64,3.61,4.09,96.37,7.17,46.63
Germany,2023,Diabetes,Respiratory,15.38,0.98,6.48,184104.0,65.55,4.52,4.54,67.04,7.02,30.82
Brazil,2020,Hypertension,Respiratory,10.24,14.68,0.31,342196.0,66.13,2.25,2.71,78.45,3.91,74.4
France,2024,Asthma,Metabolic,11.01,10.85,7.92,983759.0,95.79,2.18,6.01,54.52,9.07,34.11
Australia,2020,Cancer,Viral,9.31,3.08,5.11,248446.0,93.79,3.9,9.22,54.4,1.43,36.15
Russia,2020,Cancer,Autoimmune,15.77,4.7,0.48,267174.0,82.11,1.65,0.59,89.74,7.51,52.91
Germany,2020,Cancer,Viral,19.01,8.3,6.06,279738.0,54.04,2.89,0.86,78.64,1.48,22.75
USA,2021,Hypertension,Respiratory,13.89,9.09,0.65,370648.0,99.55,3.79,9.97,68.15,4.9,67.17
Russia,2021,Diabetes,Genetic,5.07,5.88,5.23,863115.0,54.92,1.87,7.9,52.2,7.04,39.51
Italy,2020,Asthma,Neurological,0.74,0.41,8.65,135296.0,97.24,2.77,9.5,91.12,2.94,38.82
Italy,2020,Cancer,Respiratory,13.78,11.87,9.86,443699.0,69.93,2.83,5.53,55.19,1.24,30.31
India,2021,Hypertension,Autoimmune,13.03,8.35,1.74,530856.0,57.17,1.89,3.99,71.37,2.39,32.42
India,2023,Asthma,Infectious,15.17,10.64,9.86,334703.0,90.85,1.76,6.71,93.99,1.04,21.33
Russia,2024,Hypertension,Infectious,11.23,10.24,8.62,768615.0,98.15,3.99,9.54,72.79,6.51,62.65
Germany,2023,Diabetes,Autoimmune,3.58,1.88,9.39,644999.0,91.06,1.12,1.57,68.84,2.08,45.37
Indonesia,2022,Asthma,Metabolic,10.33,8.98,1.13,392943.0,94.16,3.2,8.4,58.93,2.45,70.51
Saudi Arabia,2021,Hypertension,Parasitic,2.96,8.38,3.26,589040.0,69.44,3.49,3.33,85.59,8.42,35.78
UK,2020,Cancer,Respiratory,18.35,14.41,8.06,632676.0,82.52,4.55,6.97,68.46,6.25,64.2
Turkey,2021,Diabetes,Chronic,5.77,7.69,4.26,984642.0,75.53,0.5,7.62,97.87,6.03,30.89
Russia,2021,Diabetes,Parasitic,9.3,8.09,8.77,771409.0,74.81,2.68,2.9,74.21,9.93,58.76
Nigeria,2022,Asthma,Autoimmune,9.93,7.86,1.12,561956.0,50.12,2.3,7.93,63.27,7.65,59.97
Argentina,2024,Hypertension,Genetic,4.17,7.34,3.7,580835.0,98.83,0.94,6.02,69.59,8.79,57.69
UK,2023,Asthma,Chronic,14.04,14.66,6.47,406221.0,60.01,4.9,0.6,83.61,2.85,27.43
Russia,2021,Cancer,Respiratory,19.15,1.91,9.64,576081.0,62.92,3.01,7.48,83.56,2.65,76.98
UK,2024,Hypertension,Neurological,9.13,2.12,9.37,239509.0,67.53,1.75,5.02,68.11,2.43,41.82
Nigeria,2023,Asthma,Bacterial,13.05,9.34,8.15,452191.0,89.26,2.21,9.17,52.36,1.68,36.78
Italy,2021,Cancer,Bacterial,17.67,9.94,2.58,193889.0,72.66,1.58,1.46,90.24,4.98,83.93
Nigeria,2020,Asthma,Neurological,18.29,3.45,2.87,144116.0,85.74,4.13,8.05,87.11,5.78,23.35
Australia,2022,Asthma,Autoimmune,1.58,9.25,0.21,744749.0,96.43,4.99,3.92,93.89,1.21,45.02
China,2024,Diabetes,Cardiovascular,1.73,2.2,1.36,17840.0,90.6,2.6,7.92,66.65,1.68,54.57
Turkey,2021,Hypertension,Cardiovascular,11.43,9.99,5.14,872162.0,84.06,3.37,0.85,95.46,8.47,44.21
India,2024,Cancer,Viral,13.52,13.43,0.83,505948.0,57.37,1.41,6.77,82.42,5.02,48.69
South Korea,2020,Diabetes,Autoimmune,14.82,3.6,9.91,425352.0,56.73,3.67,8.91,78.09,2.92,24.82
Canada,2021,Diabetes,Metabolic,7.17,10.06,3.02,226455.0,62.24,3.56,5.62,51.14,6.7,56.39
Mexico,2021,Hypertension,Autoimmune,13.97,10.68,3.44,671902.0,76.63,2.35,0.87,89.92,3.65,55.94
South Africa,2023,Asthma,Chronic,17.71,12.54,8.48,265809.0,55.27,2.9,9.5,95.57,0.1,82.73
South Korea,2024,Asthma,Neurological,1.06,6.76,2.53,867873.0,89.51,1.98,2.88,87.72,9.96,58.68
USA,2021,Hypertension,Respiratory,13.63,6.1,8.17,967116.0,57.84,3.07,3.25,97.93,4.05,81.88
Nigeria,2023,Hypertension,Viral,3.78,10.94,2.52,531248.0,69.44,0.75,8.07,60.44,5.96,30.55
Mexico,2022,Cancer,Infectious,2.51,10.4,6.97,743763.0,91.6,1.78,5.52,90.84,1.92,37.77
USA,2022,Diabetes,Autoimmune,13.68,13.47,0.52,861002.0,68.42,1.67,7.68,67.26,3.66,37.67
Russia,2024,Cancer,Viral,4.75,8.27,5.23,712311.0,94.65,2.48,0.55,77.95,9.67,51.01
Russia,2024,Cancer,Metabolic,5.2,14.7,7.7,815997.0,71.67,2.95,4.87,74.77,0.1,69.42
USA,2023,Hypertension,Infectious,13.95,10.49,3.2,976506.0,52.69,2.44,9.08,70.83,2.17,73.67
Nigeria,2024,Diabetes,Infectious,1.11,4.32,3.41,795808.0,75.21,3.14,7.78,60.03,8.91,49.99
Canada,2021,Asthma,Genetic,14.56,4.08,8.75,819652.0,88.12,2.58,8.39,84.85,9.51,21.41
Turkey,2022,Cancer,Cardiovascular,9.98,11.36,6.84,678339.0,73.58,1.15,8.91,54.36,7.67,80.81
USA,2023,Diabetes,Bacterial,7.07,2.38,2.81,724300.0,77.64,1.69,4.55,87.43,0.64,64.83
Canada,2021,Diabetes,Metabolic,8.06,4.2,2.21,138159.0,70.42,4.37,3.04,55.0,4.59,72.69
Australia,2020,Hypertension,Bacterial,13.67,3.47,2.53,509023.0,91.43,0.96,8.34,54.75,2.09,79.76
China,2024,Diabetes,Neurological,7.43,1.05,5.64,97157.0,68.38,1.45,0.79,87.88,9.95,48.95
France,2020,Hypertension,Chronic,13.95,8.77,6.93,993455.0,74.71,3.72,7.8,59.1,7.08,31.07
Canada,2023,Cancer,Metabolic,0.14,13.16,1.14,154072.0,96.14,2.06,6.12,90.6,8.99,50.92
Turkey,2020,Diabetes,Chronic,15.99,9.41,3.24,783516.0,86.72,2.49,9.9,93.37,2.22,24.08
South Africa,2023,Diabetes,Genetic,16.1,11.95,9.9,658074.0,88.31,2.78,5.4,71.26,9.71,34.03
Germany,2021,Hypertension,Chronic,2.98,12.68,5.28,986510.0,52.38,3.44,6.91,83.7,5.42,31.58
Japan,2024,Hypertension,Cardiovascular,12.32,7.25,0.3,651743.0,74.22,3.56,3.57,80.74,3.31,47.97
UK,2021,Asthma,Infectious,18.34,10.56,5.72,853353.0,97.31,4.17,7.98,79.43,0.24,34.95
USA,2021,Diabetes,Infectious,6.69,9.66,2.39,553042.0,60.4,2.43,2.86,77.97,2.79,87.31
Australia,2024,Cancer,Infectious,0.71,3.85,7.5,358434.0,98.72,3.29,5.42,56.36,0.88,57.16
Argentina,2022,Cancer,Genetic,17.3,1.78,6.24,418847.0,64.82,1.53,0.58,80.91,9.3,38.97
France,2021,Hypertension,Neurological,15.45,14.68,0.35,531710.0,56.83,3.21,7.69,56.55,8.73,78.23
UK,2023,Diabetes,Genetic,14.82,12.84,7.19,808575.0,65.3,1.4,5.34,58.03,7.69,89.19
Turkey,2024,Diabetes,Viral,19.53,6.26,4.52,236644.0,93.86,3.89,0.54,58.82,7.3,41.65
Canada,2023,Hypertension,Respiratory,7.49,1.62,8.02,891696.0,83.09,3.12,4.4,84.61,3.62,53.89
USA,2022,Hypertension,Infectious,3.6,2.23,4.78,289515.0,67.33,1.25,0.59,95.84,1.73,37.03
China,2023,Hypertension,Genetic,19.87,9.48,3.63,110905.0,98.26,1.33,3.73,76.61,8.64,24.4
India,2023,Diabetes,Genetic,1.35,10.58,9.17,478393.0,51.04,1.58,2.06,59.42,1.53,88.33
USA,2021,Asthma,Infectious,11.04,4.85,3.14,977172.0,62.81,0.86,1.22,52.14,1.08,63.85
Germany,2021,Asthma,Infectious,2.28,1.17,6.32,978061.0,97.21,2.28,5.44,87.91,6.82,46.62
Australia,2024,Diabetes,Chronic,11.76,8.31,3.31,252498.0,89.49,4.48,8.87,66.84,8.82,51.36
Brazil,2021,Hypertension,Parasitic,5.89,5.3,1.08,638839.0,70.11,2.79,2.18,98.31,6.56,20.63
Russia,2022,Diabetes,Neurological,2.83,11.95,0.73,909012.0,69.52,3.72,2.56,89.84,4.15,69.85
Australia,2021,Asthma,Parasitic,3.35,11.65,6.15,357438.0,87.82,4.25,6.9,71.74,4.31,33.61
UK,2023,Diabetes,Metabolic,4.81,11.98,7.59,387491.0,72.08,4.66,5.23,74.1,7.33,37.27
Saudi Arabia,2021,Cancer,Bacterial,7.03,7.01,8.77,679922.0,80.22,4.44,4.53,67.14,8.11,36.53
France,2024,Asthma,Infectious,3.35,13.66,8.26,732491.0,80.92,3.67,6.88,85.46,5.48,86.33
