Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2023-01-13,Toronto,Canada,,13.93,188.98,61.63,6.29,2.55,70.5,3.38,93.85,16.04
2023-01-13,Tokyo,Japan,,51.22,51.95,84.72,34.14,6.2,40.74,-1.6,10.61,0.55
2023-01-13,Bangkok,Thailand,,140.62,167.25,51.55,17.1,5.09,32.08,18.73,63.34,6.82
2023-01-13,Seoul,South Korea,,17.24,176.46,72.28,25.2,8.87,83.61,-3.44,46.27,1.01
2023-01-13,Seoul,South Korea,,57.67,125.1,72.26,44.36,2.08,118.49,-4.38,41.01,19.08
2023-01-13,Mumbai,India,,76.83,107.24,50.15,37.44,5.18,62.09,22.19,93.76,0.73
2023-01-13,Johannesburg,South Africa,,87.31,24.7,19.59,36.34,4.12,164.3,4.73,64.99,14.23
2023-01-13,Cairo,Egypt,,108.02,156.0,79.62,20.03,4.15,129.85,39.31,94.42,4.28
2023-01-13,London,UK,,47.2,174.96,26.67,6.76,8.29,188.55,7.76,35.71,4.38
2023-01-13,Berlin,Germany,,119.58,184.04,88.56,10.05,6.44,131.09,1.18,94.13,2.86
2023-01-13,Rio de Janeiro,Brazil,,50.06,65.97,85.47,48.67,0.64,103.81,27.24,72.86,14.84
2023-01-13,Beijing,China,,38.28,53.92,65.65,42.51,3.45,32.07,18.92,98.73,5.3
2023-01-13,Istanbul,Turkey,,133.43,152.72,50.36,13.71,7.55,193.28,29.03,96.03,4.5
2023-01-13,Tokyo,Japan,,43.01,63.29,75.42,9.64,5.04,115.68,26.03,49.12,13.06
2023-01-13,Berlin,Germany,,14.89,62.64,17.91,31.07,7.51,86.51,6.29,69.31,16.31
2023-01-13,New York,USA,,80.38,44.69,21.71,2.95,4.65,91.98,25.62,77.37,7.16
2023-01-13,Berlin,Germany,,122.37,54.42,39.87,15.93,6.23,140.95,8.16,21.19,6.02
2023-01-13,Dubai,UAE,,126.2,160.64,98.04,15.08,3.51,181.78,0.76,92.06,8.66
2023-01-13,Dubai,UAE,,11.91,22.33,21.16,8.79,7.59,126.72,37.98,19.71,13.16
2023-01-13,Istanbul,Turkey,,95.88,90.32,56.56,3.86,8.47,140.96,4.76,32.24,6.72
2023-01-13,Dubai,UAE,,20.2,51.39,34.37,49.01,2.32,139.07,-9.33,65.89,5.9
2023-01-13,Toronto,Canada,,9.33,186.19,58.62,16.27,9.04,24.76,18.27,18.98,8.95
2023-01-13,Dubai,UAE,,93.75,101.7,69.65,12.48,5.21,78.76,-3.06,55.99,4.34
2023-01-13,Mumbai,India,,147.98,130.98,36.23,28.27,2.66,161.98,7.7,30.32,13.14
2023-01-13,Los Angeles,USA,,39.49,133.72,50.48,41.88,4.62,184.65,1.04,70.87,18.45
2023-01-13,Cairo,Egypt,,45.92,50.66,10.13,7.67,2.28,124.14,25.32,56.07,15.64
2023-01-14,Seoul,South Korea,,61.4,194.74,70.29,12.12,8.65,117.17,-3.34,94.41,5.81
2023-01-14,Los Angeles,USA,,106.65,94.41,99.38,10.92,2.16,155.22,10.34,80.99,11.23
2023-01-14,Berlin,Germany,,14.63,123.01,46.65,40.13,8.08,10.67,8.19,89.78,11.61
2023-01-14,Istanbul,Turkey,,104.21,127.97,13.01,25.42,9.86,80.66,34.1,13.62,0.81
2023-01-14,Mexico City,Mexico,,72.72,116.11,87.3,31.95,1.38,27.26,8.2,27.8,19.53
2023-01-14,Seoul,South Korea,,47.79,38.17,39.92,35.19,6.69,13.69,7.0,26.77,13.1
2023-01-14,Seoul,South Korea,,8.2,173.35,86.27,17.15,0.53,106.79,5.2,24.32,13.86
2023-01-14,Johannesburg,South Africa,,56.6,21.73,39.94,37.37,8.53,103.96,8.45,71.04,4.84
2023-01-14,Toronto,Canada,,122.5,42.5,54.52,15.78,4.12,167.57,-3.27,49.39,16.54
2023-01-14,Madrid,Spain,,41.3,58.83,95.79,9.96,5.25,154.51,31.64,58.49,9.35
2023-01-14,Cairo,Egypt,,26.94,47.65,48.33,19.21,0.77,138.16,5.05,59.17,0.83
2023-01-14,Mumbai,India,,45.37,53.48,40.95,29.24,5.2,94.79,31.23,54.25,1.52
2023-01-14,Mexico City,Mexico,,110.31,159.38,40.14,17.3,7.05,184.81,6.01,51.66,6.93
2023-01-14,Toronto,Canada,,6.85,162.72,85.05,34.23,8.01,30.54,-3.52,13.63,15.34
2023-01-14,Madrid,Spain,,113.37,89.78,92.84,32.95,0.92,42.58,-3.94,19.27,1.51
2023-01-14,Tokyo,Japan,,112.12,165.51,91.59,40.06,1.02,83.19,-5.87,73.33,14.05
2023-01-14,Bangkok,Thailand,,102.01,168.55,63.15,14.87,5.54,12.24,21.55,60.34,14.07
2023-01-14,Berlin,Germany,,131.85,116.69,90.02,27.88,8.99,65.23,34.11,74.54,3.37
2023-01-14,Los Angeles,USA,,149.95,115.11,69.0,34.25,9.93,148.46,27.66,63.6,14.14
2023-01-14,Moscow,Russia,,135.7,89.77,83.24,12.21,0.62,183.36,32.33,78.07,3.47
2023-01-14,Istanbul,Turkey,,98.99,18.54,28.3,22.33,0.65,82.01,15.55,82.21,9.34
2023-01-14,Moscow,Russia,,105.16,17.36,92.81,8.38,7.9,40.69,15.24,50.44,17.05
2023-01-14,Istanbul,Turkey,,28.07,39.56,31.0,19.18,3.47,104.18,10.76,97.66,9.74
2023-01-14,Dubai,UAE,,68.89,98.94,8.33,16.44,6.74,64.2,13.8,61.02,3.43
2023-01-14,Berlin,Germany,,77.34,91.28,88.37,20.25,3.27,138.53,18.18,48.76,6.15
2023-01-14,Dubai,UAE,,137.36,32.56,61.81,4.81,6.11,159.73,6.53,88.73,11.96
2023-01-14,Cairo,Egypt,,12.58,181.53,58.53,47.03,1.51,17.26,6.99,13.54,6.53
2023-01-14,Tokyo,Japan,,141.75,182.17,52.0,40.36,8.49,151.03,19.9,39.78,17.6
2023-01-14,Mumbai,India,,62.59,156.44,27.05,42.64,9.99,69.47,1.54,23.11,17.1
2023-01-14,Toronto,Canada,,14.67,62.39,53.06,44.46,3.87,169.4,-3.84,84.15,3.09
2023-01-14,Paris,France,,8.68,130.88,51.62,4.63,4.53,149.97,33.51,43.97,3.58
2023-01-14,London,UK,,59.5,142.4,30.84,12.79,3.91,92.34,6.82,56.62,5.76
2023-01-14,Madrid,Spain,,110.79,182.47,22.48,20.48,3.62,168.98,-2.11,70.59,9.63
2023-01-14,Toronto,Canada,,37.78,196.09,90.13,4.29,1.16,150.19,22.63,96.91,18.25
2023-01-14,Mexico City,Mexico,,53.4,94.0,18.96,5.37,1.12,49.28,31.09,67.18,6.96
2023-01-14,Paris,France,,116.42,112.6,25.52,3.16,3.55,55.5,-8.18,37.8,2.69
2023-01-15,Moscow,Russia,,51.9,73.9,29.51,1.62,1.21,69.31,34.99,49.59,14.78
2023-01-15,London,UK,,35.37,76.55,77.15,28.52,3.68,23.28,31.14,38.97,11.79
2023-01-15,Istanbul,Turkey,,49.47,192.96,84.34,20.94,0.41,43.57,-2.48,15.8,11.76
2023-01-15,Tokyo,Japan,,64.29,48.4,93.01,18.23,9.24,103.35,25.83,63.84,18.76
2023-01-15,Los Angeles,USA,,47.39,119.37,46.17,12.54,3.87,147.1,27.53,35.49,13.94
2023-01-15,Dubai,UAE,,10.57,127.02,58.03,44.98,9.79,72.89,34.98,44.92,5.7
2023-01-15,Bangkok,Thailand,,59.56,172.04,73.73,16.52,9.09,195.43,-7.77,11.55,10.46
2023-01-15,Rio de Janeiro,Brazil,,136.97,76.93,76.17,42.07,4.61,126.29,26.76,92.12,3.54
2023-01-15,Cairo,Egypt,,92.69,131.51,84.75,19.66,7.42,31.53,12.86,65.5,2.35
2023-01-15,Sydney,Australia,,121.92,129.68,87.85,20.44,4.54,54.48,27.82,57.53,14.74
2023-01-15,Istanbul,Turkey,,61.75,29.77,71.62,18.29,5.1,70.36,-2.43,49.08,19.01
2023-01-15,Madrid,Spain,,147.8,25.81,38.84,31.45,1.79,190.21,-9.44,40.22,18.51
2023-01-15,Paris,France,,115.48,186.25,59.42,48.03,2.51,71.04,17.6,55.35,18.79
2023-01-15,Toronto,Canada,,51.42,35.26,62.0,15.79,1.51,24.56,2.21,48.63,8.1
2023-01-15,Seoul,South Korea,,24.6,14.29,48.47,38.87,1.33,184.56,-5.29,66.64,3.83
2023-01-15,Mumbai,India,,111.84,89.8,73.5,47.17,9.02,107.65,23.48,65.25,3.91
2023-01-15,Berlin,Germany,,142.85,90.55,96.51,30.12,2.0,41.13,24.3,65.37,0.96
2023-01-15,Cairo,Egypt,,149.28,32.67,94.32,2.0,0.88,80.83,16.89,62.38,2.43
2023-01-15,Seoul,South Korea,,105.73,168.52,80.45,32.65,7.28,37.17,39.15,24.32,13.92
2023-01-15,Cairo,Egypt,,28.01,44.96,87.23,18.63,3.45,167.64,7.41,31.56,16.33
2023-01-16,Paris,France,,84.94,13.55,54.05,9.73,1.1,10.52,18.03,56.2,14.02
2023-01-16,Moscow,Russia,,83.48,72.88,67.85,4.28,1.28,23.5,39.43,35.15,19.19
2023-01-16,Moscow,Russia,,51.95,178.93,97.82,37.0,2.6,199.87,-8.02,83.05,10.18
2023-01-16,Dubai,UAE,,137.75,62.13,53.78,25.95,5.38,157.85,22.24,12.48,14.22
2023-01-16,Tokyo,Japan,,36.08,158.44,28.47,49.63,3.14,139.05,8.14,52.93,5.57
2023-01-16,Paris,France,,78.2,149.43,85.98,20.66,3.94,167.35,4.65,44.61,7.73
2023-01-16,Sydney,Australia,,30.32,100.74,26.06,6.25,5.04,190.89,24.4,69.08,5.05
2023-01-16,Toronto,Canada,,133.47,125.48,68.51,42.49,7.69,195.55,10.49,69.26,10.83
2023-01-16,Sydney,Australia,,131.69,98.66,28.51,9.23,3.19,163.84,28.81,68.91,9.43
2023-01-16,Istanbul,Turkey,,143.85,95.36,22.01,13.0,2.87,144.03,10.35,98.3,15.91
2023-01-16,Madrid,Spain,,136.16,55.38,62.03,36.01,5.48,112.76,-9.89,71.58,16.78
2023-01-16,Los Angeles,USA,,60.98,132.04,64.44,21.68,7.82,93.63,25.61,28.18,18.37
2023-01-16,New York,USA,,144.57,125.26,44.74,10.87,4.6,177.57,10.68,52.31,5.75
2023-01-16,London,UK,,40.97,39.27,74.65,43.5,2.03,176.94,-6.51,69.08,14.6
2023-01-16,Johannesburg,South Africa,,6.01,144.42,80.91,4.12,0.94,25.33,5.5,12.56,12.34
2023-01-16,Toronto,Canada,,68.14,166.12,71.07,1.62,2.26,100.27,23.96,96.01,16.52
2023-01-16,Tokyo,Japan,,44.5,185.31,30.48,35.64,9.03,94.23,11.3,28.12,3.25
2023-01-16,Bangkok,Thailand,,17.86,13.06,33.4,49.91,8.61,91.92,38.66,37.14,11.42
2023-01-16,Sydney,Australia,,39.3,57.71,80.16,10.75,1.76,40.29,-5.29,72.41,15.12
2023-01-16,Toronto,Canada,,58.36,103.43,33.63,2.42,3.72,125.36,31.71,14.8,12.28
2023-01-16,Johannesburg,South Africa,,17.52,85.99,81.39,48.07,5.03,117.03,29.86,21.88,8.84
2023-01-16,Seoul,South Korea,,79.83,96.07,45.15,3.8,6.06,53.95,39.68,78.27,11.92
2023-01-16,Moscow,Russia,,12.52,122.97,19.23,38.64,1.48,105.92,18.25,26.03,1.7
2023-01-16,Johannesburg,South Africa,,102.49,14.85,14.97,34.1,5.17,198.92,-5.82,66.33,3.77
2023-01-16,Dubai,UAE,,57.19,26.5,13.4,37.33,2.94,71.35,3.27,72.66,9.52
2023-01-16,Seoul,South Korea,,58.27,131.0,57.85,21.38,8.59,182.44,9.48,55.3,7.6
2023-01-16,Dubai,UAE,,86.09,21.11,57.14,35.93,7.78,68.62,12.81,47.33,11.86
2023-01-16,London,UK,,29.2,50.97,18.5,21.2,1.27,61.11,38.11,49.61,14.08
2023-01-16,Paris,France,,70.05,19.62,30.27,47.42,7.92,147.87,-9.35,37.57,6.96
2023-01-16,London,UK,,105.41,170.62,12.5,43.33,5.31,144.81,-2.54,54.5,1.98
2023-01-16,Mexico City,Mexico,,33.9,113.55,18.76,33.14,4.8,148.42,27.57,72.18,11.02
2023-01-16,Bangkok,Thailand,,57.37,127.05,93.29,11.6,8.73,122.75,31.86,85.66,8.8
2023-01-16,Seoul,South Korea,,76.77,154.58,50.28,13.89,1.98,78.64,9.49,25.42,17.12
2023-01-17,New York,USA,,119.43,19.44,10.9,15.7,4.67,76.52,-1.81,53.64,15.63
2023-01-17,Moscow,Russia,,141.38,28.16,15.04,41.24,3.61,115.11,-7.89,70.04,10.84
2023-01-17,Bangkok,Thailand,,37.86,82.08,61.5,18.86,9.46,121.52,14.85,26.04,1.62
2023-01-17,Tokyo,Japan,,33.87,173.99,74.73,25.74,4.65,189.94,22.82,77.81,13.27
2023-01-17,Madrid,Spain,,125.82,80.16,11.35,13.82,2.68,199.71,23.92,86.47,6.71
2023-01-17,Rio de Janeiro,Brazil,,109.07,42.77,11.42,13.78,9.28,184.57,0.45,58.81,0.82
2023-01-17,Rio de Janeiro,Brazil,,128.0,89.45,68.05,27.43,9.24,16.77,-0.75,29.72,1.23
2023-01-17,Seoul,South Korea,,87.05,136.06,71.47,23.76,7.43,114.11,-6.55,56.89,10.19
2023-01-17,Moscow,Russia,,59.81,177.68,30.29,47.09,9.16,159.98,-4.03,61.96,14.74
2023-01-17,Toronto,Canada,,122.66,107.47,28.43,17.25,4.88,83.14,-1.04,56.82,4.41
2023-01-17,Beijing,China,,18.45,111.33,36.23,17.15,8.24,48.51,34.68,50.15,5.75
2023-01-17,Madrid,Spain,,88.42,179.04,49.19,24.89,6.11,17.06,14.14,87.37,9.58
2023-01-17,Los Angeles,USA,,40.6,21.18,72.69,41.58,1.27,180.8,26.72,65.0,14.49
2023-01-17,Rio de Janeiro,Brazil,,8.1,159.81,18.16,10.28,0.47,16.0,-9.46,61.97,13.91
2023-01-17,London,UK,,72.12,80.04,9.05,3.02,0.18,83.33,4.34,49.98,7.87
2023-01-17,Johannesburg,South Africa,,91.77,187.95,77.51,10.59,3.82,106.0,35.13,71.61,12.88
2023-01-17,Johannesburg,South Africa,,59.99,104.5,20.35,45.53,6.34,100.87,-3.73,61.52,6.57
2023-01-17,Berlin,Germany,,132.0,138.8,27.42,8.55,5.7,198.92,-5.83,75.12,19.55
2023-01-17,Dubai,UAE,,81.25,184.02,94.59,28.9,5.92,147.43,14.76,32.46,10.33
2023-01-17,London,UK,,30.29,114.53,6.23,8.52,8.42,22.98,-0.65,55.63,2.35
2023-01-17,Seoul,South Korea,,90.52,189.29,54.21,42.2,5.19,36.69,1.58,83.81,10.09
2023-01-17,Seoul,South Korea,,49.54,21.06,14.91,37.89,9.92,16.48,21.88,40.47,10.66
2023-01-17,Tokyo,Japan,,79.19,96.7,25.69,30.95,0.86,186.23,5.43,54.16,2.82
2023-01-17,Mumbai,India,,11.95,58.7,85.29,46.73,2.75,31.23,6.68,43.19,17.85
2023-01-17,Los Angeles,USA,,89.07,93.49,36.41,29.77,4.49,15.59,21.12,10.62,17.64
2023-01-17,Johannesburg,South Africa,,17.72,40.59,16.24,28.26,6.22,99.36,35.55,46.28,7.79
2023-01-17,Johannesburg,South Africa,,130.91,127.79,10.9,36.21,3.79,165.03,-3.39,38.28,11.57
2023-01-17,Moscow,Russia,,65.55,195.45,37.42,33.19,7.82,72.05,8.74,91.97,13.88
2023-01-17,London,UK,,14.87,29.03,18.38,21.58,7.87,32.38,-5.16,78.77,15.56
2023-01-18,Johannesburg,South Africa,,118.04,143.05,6.67,19.29,6.63,27.21,37.15,34.59,2.73
2023-01-18,Mexico City,Mexico,,62.37,16.26,77.64,16.74,8.58,124.31,-9.58,46.71,13.1
2023-01-18,Toronto,Canada,,123.68,152.26,47.6,48.13,7.24,104.75,32.14,86.79,13.03
2023-01-18,Toronto,Canada,,89.78,115.73,49.36,14.97,4.75,158.51,32.36,17.32,16.6
2023-01-18,Dubai,UAE,,66.64,195.54,62.96,46.74,1.28,185.43,15.98,35.02,16.31
2023-01-18,Cairo,Egypt,,71.23,85.12,91.45,26.47,7.47,44.24,32.58,65.01,5.94
2023-01-18,Berlin,Germany,,102.95,184.02,95.69,17.61,8.03,68.47,11.32,16.5,16.02
2023-01-18,Paris,France,,89.94,36.0,85.19,28.98,4.88,63.21,-5.87,61.62,17.43
2023-01-18,Bangkok,Thailand,,130.77,162.96,6.73,20.4,8.37,21.07,-9.1,95.47,9.47
2023-01-18,Berlin,Germany,,57.25,132.81,18.69,24.56,1.24,67.16,39.96,37.93,6.18
2023-01-18,London,UK,,71.15,179.1,32.47,35.8,0.88,129.4,2.11,65.79,3.4
2023-01-18,Mexico City,Mexico,,148.43,165.07,70.24,36.82,8.18,107.16,-8.04,59.06,17.91
2023-01-18,Rio de Janeiro,Brazil,,136.26,179.46,90.66,2.91,8.01,119.83,31.65,97.2,18.17
2023-01-18,Mexico City,Mexico,,95.78,70.38,76.57,2.27,0.6,70.32,0.36,39.06,3.76
2023-01-18,Madrid,Spain,,97.17,22.69,57.54,4.11,3.55,77.78,1.81,49.81,13.53
2023-01-18,Mumbai,India,,41.65,169.26,99.11,34.23,8.69,167.71,-9.2,40.12,5.69
2023-01-18,Seoul,South Korea,,137.13,47.63,44.83,32.11,2.07,152.77,-1.33,56.99,1.72
2023-01-18,Toronto,Canada,,78.17,172.07,9.31,27.54,7.93,125.16,37.86,72.38,7.15
2023-01-18,Mumbai,India,,65.72,30.49,73.43,11.23,4.78,172.03,31.44,60.32,17.32
2023-01-18,Beijing,China,,125.67,140.64,31.27,32.73,4.08,67.08,17.38,88.88,19.85
2023-01-18,Mexico City,Mexico,,86.46,59.94,12.68,9.99,0.71,127.67,1.99,86.69,8.18
2023-01-18,Tokyo,Japan,,106.8,124.07,57.51,44.73,7.47,93.29,2.58,71.06,19.41
2023-01-18,Istanbul,Turkey,,46.94,140.29,66.56,12.22,5.66,143.04,11.4,67.29,2.67
2023-01-18,London,UK,,107.79,49.36,5.75,1.19,1.76,180.82,-4.39,38.42,14.47
2023-01-18,Berlin,Germany,,99.03,21.68,79.17,4.22,3.45,56.83,39.8,51.04,13.98
2023-01-18,Los Angeles,USA,,25.82,69.16,44.66,28.83,5.54,101.69,-4.79,77.56,11.43
2023-01-18,Sydney,Australia,,78.26,23.86,42.93,5.8,1.91,17.43,21.15,39.54,17.58
2023-01-18,Tokyo,Japan,,42.87,181.7,58.03,17.47,4.28,98.36,-0.19,23.26,10.55
2023-01-18,London,UK,,73.71,110.45,24.76,44.5,3.74,108.69,3.48,42.65,5.27
2023-01-18,Los Angeles,USA,,149.31,77.27,95.5,43.08,6.68,88.74,9.84,41.06,6.68
2023-01-19,London,UK,,142.73,41.13,18.29,13.44,1.28,177.78,-8.76,76.24,14.55
2023-01-19,London,UK,,142.81,145.24,68.78,38.63,4.63,39.42,37.39,92.31,13.22
2023-01-19,Los Angeles,USA,,89.91,80.53,11.32,41.45,6.68,147.99,-2.38,30.63,11.93
2023-01-19,Bangkok,Thailand,,24.39,31.57,15.47,9.85,5.7,177.94,30.58,71.66,16.24
2023-01-19,London,UK,,149.74,51.62,92.86,25.83,6.43,98.63,39.94,54.94,8.94
2023-01-19,Madrid,Spain,,104.07,86.55,41.0,49.81,4.74,57.97,-1.91,81.87,19.49
2023-01-19,Tokyo,Japan,,100.91,125.29,52.36,23.41,1.03,21.52,25.89,58.59,14.75
2023-01-19,Beijing,China,,61.95,72.63,33.56,33.42,6.5,75.46,24.68,39.7,7.98
2023-01-19,Beijing,China,,146.88,196.41,83.07,7.59,3.3,85.76,39.91,70.93,15.82
2023-01-19,Mexico City,Mexico,,149.22,156.09,46.63,20.81,6.4,114.03,10.88,97.51,10.36
2023-01-19,Sydney,Australia,,119.79,77.74,34.81,42.45,5.0,53.18,29.05,95.17,15.53
2023-01-19,Sydney,Australia,,119.75,158.85,73.36,5.31,6.59,182.6,22.62,51.79,15.94
2023-01-19,Paris,France,,45.05,41.78,59.15,17.39,9.3,199.39,22.76,65.3,15.6
2023-01-19,Paris,France,,108.06,46.08,22.17,38.14,9.36,96.06,35.84,28.22,4.71
2023-01-19,New York,USA,,32.43,66.64,76.52,21.62,6.69,50.16,8.84,61.13,2.66
2023-01-19,Los Angeles,USA,,141.4,149.62,94.23,45.78,6.51,188.01,-1.95,41.85,19.81
2023-01-19,London,UK,,131.28,23.13,77.1,14.45,0.36,66.28,9.6,61.9,8.9
2023-01-19,Seoul,South Korea,,135.32,190.29,45.15,11.39,5.77,151.36,11.37,82.01,5.79
2023-01-19,Bangkok,Thailand,,49.04,189.65,52.44,6.0,5.05,150.13,3.07,68.66,6.76
2023-01-19,Johannesburg,South Africa,,43.84,104.45,30.69,48.27,5.62,19.85,18.48,79.74,14.19
2023-01-19,Johannesburg,South Africa,,113.0,124.05,87.11,48.77,5.81,126.94,-0.93,34.0,14.1
2023-01-19,Sydney,Australia,,102.92,107.51,39.68,34.02,2.32,157.84,29.46,95.39,0.54
2023-01-19,Istanbul,Turkey,,139.38,184.44,93.83,10.46,3.47,86.87,4.56,85.24,2.0
2023-01-19,Istanbul,Turkey,,34.51,80.84,71.68,10.34,8.57,159.63,0.1,11.73,9.36
2023-01-19,Madrid,Spain,,131.76,122.75,64.47,4.54,4.55,44.09,24.39,33.75,1.03
2023-01-19,Madrid,Spain,,24.65,178.97,66.6,30.11,0.6,117.49,23.34,12.32,12.01
2023-01-19,Tokyo,Japan,,123.18,106.02,26.7,21.75,4.08,93.7,-2.23,36.13,13.89
2023-01-19,Istanbul,Turkey,,29.15,190.95,42.75,22.66,7.42,124.47,15.0,44.91,9.84
2023-01-19,Dubai,UAE,,119.42,178.31,28.09,13.03,9.91,21.73,20.05,81.49,6.22
2023-01-19,Mumbai,India,,143.0,178.39,82.64,35.52,1.21,115.56,6.86,51.27,9.18
2023-01-20,Dubai,UAE,,138.52,171.18,73.44,7.86,2.9,140.31,18.94,27.66,11.01
2023-01-20,Moscow,Russia,,43.6,89.07,84.33,10.59,4.16,14.45,36.38,55.98,11.87
2023-01-20,Berlin,Germany,,46.45,47.95,22.98,24.23,2.67,99.4,4.19,37.21,13.9
2023-01-20,Madrid,Spain,,138.02,155.94,88.55,34.98,6.26,129.51,-9.19,59.96,3.47
2023-01-20,New York,USA,,103.64,199.26,91.64,15.19,8.45,102.04,-4.54,55.94,3.61
2023-01-20,Dubai,UAE,,79.05,151.35,11.36,21.77,7.88,170.93,7.8,34.75,7.82
2023-01-20,Mumbai,India,,117.41,56.59,79.79,16.64,9.17,108.31,-9.53,49.92,6.87
2023-01-20,Mexico City,Mexico,,126.71,87.24,49.48,10.18,8.27,108.57,9.97,45.42,1.79
2023-01-20,Seoul,South Korea,,82.18,155.14,30.57,37.5,2.38,26.15,17.2,42.78,19.03
2023-01-20,Dubai,UAE,,87.12,65.35,83.41,14.71,2.11,182.64,37.92,41.86,8.22
2023-01-20,Mexico City,Mexico,,40.97,198.17,75.05,9.67,5.6,104.52,3.96,33.54,18.33
2023-01-20,Madrid,Spain,,67.46,124.47,50.07,41.23,1.35,43.56,4.34,71.15,4.6
2023-01-20,Los Angeles,USA,,11.54,72.7,64.81,32.91,5.19,143.32,36.58,94.13,12.39
2023-01-20,Johannesburg,South Africa,,67.7,139.2,28.43,38.1,6.03,110.17,6.31,64.54,10.26
2023-01-20,Toronto,Canada,,95.96,24.75,49.71,19.97,8.18,101.28,10.78,55.4,8.38
2023-01-20,Seoul,South Korea,,54.64,75.37,56.6,1.4,1.9,92.55,15.08,13.68,13.77
2023-01-20,Rio de Janeiro,Brazil,,17.24,152.7,50.2,34.31,1.32,162.43,17.74,43.33,9.49
2023-01-20,Madrid,Spain,,25.39,190.1,90.36,29.0,6.67,97.65,31.87,46.07,2.56
2023-01-20,Bangkok,Thailand,,76.76,196.97,15.96,30.17,9.78,37.61,22.0,37.85,19.98
2023-01-20,Istanbul,Turkey,,116.53,34.49,48.19,9.66,8.34,148.89,1.87,59.47,10.08
2023-01-20,Cairo,Egypt,,136.8,111.06,44.48,46.11,7.85,176.75,21.74,28.18,2.19
2023-01-20,Mexico City,Mexico,,62.78,159.32,11.88,15.48,4.99,85.99,21.66,34.29,16.84
2023-01-21,Los Angeles,USA,,85.51,26.0,44.0,22.32,5.08,104.56,9.96,73.21,17.55
2023-01-21,Los Angeles,USA,,114.26,174.54,17.86,43.86,6.9,198.82,39.95,12.39,5.78
2023-01-21,New York,USA,,30.39,108.6,97.68,43.74,7.65,127.1,18.43,51.94,13.32
2023-01-21,Cairo,Egypt,,107.72,88.94,25.64,41.84,6.78,60.12,12.55,17.66,18.11
2023-01-21,Dubai,UAE,,86.05,77.04,40.62,46.88,7.04,198.52,8.27,67.29,18.4
2023-01-21,Johannesburg,South Africa,,87.99,179.1,25.47,48.52,9.71,106.3,38.96,15.6,2.05
2023-01-21,Moscow,Russia,,114.68,88.37,33.42,46.01,2.23,137.37,14.83,26.47,8.28
2023-01-21,Mexico City,Mexico,,119.35,183.08,34.21,37.6,9.73,39.95,-5.85,59.05,1.47
2023-01-21,Bangkok,Thailand,,121.43,55.34,70.77,38.15,4.82,97.44,38.04,44.91,10.72
2023-01-21,Toronto,Canada,,79.71,29.11,35.91,29.18,3.19,195.92,33.43,69.79,16.04
2023-01-21,Los Angeles,USA,,145.66,98.91,95.81,6.04,5.43,71.33,33.01,81.35,17.57
2023-01-21,Moscow,Russia,,26.13,73.29,93.66,31.91,8.85,141.1,-5.34,79.48,9.58
2023-01-21,Paris,France,,109.04,158.61,45.62,11.16,5.22,129.81,30.81,58.05,3.53
2023-01-21,Mexico City,Mexico,,127.51,76.06,44.29,46.23,0.51,84.51,35.34,69.04,15.66
2023-01-21,Bangkok,Thailand,,88.12,69.24,23.7,39.83,5.65,179.21,3.7,77.29,9.0
2023-01-21,Moscow,Russia,,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22
2023-01-21,Johannesburg,South Africa,,109.89,42.41,25.47,14.58,0.79,101.16,2.04,96.19,3.06
2023-01-21,Johannesburg,South Africa,,16.49,21.2,93.68,7.56,0.98,37.08,9.12,48.43,18.95
2023-01-21,Seoul,South Korea,,38.56,111.37,76.26,33.35,3.95,130.0,23.21,78.57,7.23
2023-01-21,Sydney,Australia,,118.92,191.82,80.85,10.7,8.65,168.24,29.14,84.0,5.72
2023-01-21,London,UK,,110.69,55.58,41.32,42.57,0.45,41.8,32.84,36.92,2.47
2023-01-21,Beijing,China,,54.56,178.83,90.13,12.38,6.63,57.54,2.36,70.33,6.48
2023-01-21,Moscow,Russia,,38.62,85.53,22.97,18.54,8.33,130.57,7.96,75.34,5.35
2023-01-21,Johannesburg,South Africa,,134.69,118.56,36.68,6.15,8.75,83.06,-1.05,21.06,8.16
2023-01-21,London,UK,,105.25,141.77,45.71,39.8,1.43,91.15,3.23,59.47,2.43
2023-01-22,Beijing,China,,127.72,93.57,7.73,49.79,6.86,35.57,18.98,56.37,2.51
2023-01-22,Seoul,South Korea,,20.23,41.08,33.39,40.0,5.09,146.14,12.21,18.25,3.44
2023-01-22,Toronto,Canada,,61.0,139.24,29.8,10.23,7.41,10.16,25.12,37.52,15.37
2023-01-22,Johannesburg,South Africa,,63.67,143.29,60.75,37.58,0.68,162.78,18.11,77.49,13.88
2023-01-22,Moscow,Russia,,23.26,31.18,72.35,23.0,1.19,47.33,22.75,31.57,18.98
2023-01-22,Bangkok,Thailand,,119.07,176.26,62.17,47.58,9.01,103.11,15.41,43.9,15.62
2023-01-22,Berlin,Germany,,6.15,27.48,34.96,13.43,7.67,154.74,32.25,87.28,3.25
2023-01-22,Paris,France,,124.44,54.92,26.89,1.71,6.13,170.42,13.84,62.06,2.97
